iter	Passed	Remaining
0	136	136000
1	136	68176
2	137	45553
3	137	34239
4	137	27453
5	138	22931
6	138	19715
7	139	17292
8	139	15408
9	140	13903
10	140	12668
11	141	11649
12	141	10776
13	142	10026
14	142	9381
15	143	8817
16	143	8319
17	144	7871
18	144	7472
19	145	7112
20	145	6786
21	146	6490
22	146	6221
23	147	5978
24	147	5749
25	147	5537
26	148	5340
27	148	5157
28	149	4990
29	149	4833
30	149	4685
31	150	4546
32	150	4416
33	151	4293
34	151	4177
35	151	4068
36	152	3965
37	152	3867
38	153	3774
39	153	3686
40	154	3602
41	154	3522
42	154	3445
43	155	3372
44	155	3301
45	156	3236
46	156	3171
47	156	3110
48	157	3051
49	157	2995
50	158	2941
51	158	2889
52	158	2839
53	159	2790
54	159	2743
55	160	2698
56	160	2655
57	160	2612
58	161	2572
59	161	2533
60	162	2495
61	162	2459
62	162	2424
63	163	2389
64	163	2356
65	164	2323
66	164	2292
67	165	2261
68	165	2231
69	165	2201
70	166	2173
71	166	2146
72	166	2119
73	167	2093
74	167	2068
75	168	2043
76	168	2017
77	168	1994
78	169	1971
79	169	1949
80	169	1927
81	170	1905
82	170	1885
83	171	1865
84	171	1845
85	171	1826
86	172	1808
87	172	1789
88	173	1772
89	173	1754
90	173	1737
91	174	1720
92	174	1703
93	175	1687
94	175	1672
95	175	1656
96	176	1641
97	176	1626
98	177	1612
99	177	1598
100	178	1584
101	178	1570
102	178	1557
103	179	1544
104	179	1530
105	179	1517
106	180	1504
107	180	1492
108	181	1480
109	181	1468
110	181	1456
111	182	1445
112	182	1434
113	183	1423
114	183	1412
115	183	1402
116	184	1390
117	184	1379
118	184	1369
119	185	1359
120	185	1349
121	186	1339
122	186	1330
123	186	1321
124	187	1311
125	187	1302
126	188	1293
127	188	1284
128	188	1275
129	189	1267
130	189	1259
131	190	1250
132	190	1242
133	190	1234
134	191	1226
135	191	1218
136	192	1210
137	192	1203
138	193	1195
139	193	1188
140	193	1181
141	194	1173
142	194	1166
143	195	1159
144	195	1152
145	195	1145
146	196	1138
147	196	1132
148	197	1125
149	197	1118
150	197	1112
151	198	1105
152	198	1099
153	199	1093
154	199	1087
155	199	1080
156	200	1074
157	200	1068
158	201	1063
159	201	1057
160	201	1052
161	202	1046
162	202	1040
163	202	1034
164	203	1029
165	203	1023
166	204	1018
167	204	1013
168	204	1007
169	205	1003
170	205	998
171	206	993
172	206	988
173	207	983
174	207	978
175	207	973
176	208	968
177	208	964
178	209	959
179	209	953
180	209	948
181	210	944
182	210	939
183	210	935
184	211	930
185	211	926
186	212	922
187	212	917
188	212	913
189	213	909
190	213	904
191	214	900
192	214	896
193	214	892
194	215	888
195	215	884
196	215	880
197	216	876
198	216	872
199	217	869
200	217	865
201	218	861
202	218	857
203	218	854
204	219	850
205	219	847
206	220	843
207	220	839
208	220	835
209	221	831
210	221	828
211	221	824
212	222	820
213	222	817
214	223	814
215	223	810
216	223	807
217	224	804
218	224	800
219	225	797
220	225	794
221	225	790
222	226	787
223	226	784
224	226	781
225	227	778
226	227	775
227	228	772
228	228	769
229	229	766
230	229	763
231	229	760
232	230	757
233	230	754
234	230	751
235	231	748
236	231	746
237	232	743
238	232	740
239	233	738
240	233	735
241	233	732
242	234	729
243	234	727
244	235	724
245	235	721
246	235	719
247	236	716
248	236	713
249	237	711
250	237	708
251	237	706
252	238	704
253	238	701
254	239	698
255	239	696
256	240	693
257	240	691
258	240	689
259	241	686
260	241	684
261	242	682
262	242	679
263	242	677
264	243	675
265	243	672
266	244	670
267	244	668
268	245	666
269	245	663
270	246	661
271	246	659
272	246	657
273	247	655
274	247	652
275	248	650
276	248	648
277	248	646
278	249	644
279	249	642
280	250	640
281	250	638
282	251	636
283	251	634
284	251	632
285	252	630
286	252	628
287	253	626
288	253	624
289	254	622
290	254	620
291	254	618
292	255	616
293	255	614
294	256	612
295	256	610
296	257	608
297	257	606
298	257	604
299	258	602
300	258	600
301	259	598
302	259	596
303	259	595
304	260	593
305	260	591
306	261	589
307	261	587
308	262	586
309	262	584
310	263	583
311	263	581
312	264	579
313	264	578
314	265	576
315	265	575
316	266	573
317	266	571
318	266	569
319	267	568
320	267	566
321	268	564
322	268	562
323	269	561
324	269	559
325	269	558
326	270	556
327	270	554
328	271	552
329	271	551
330	271	549
331	272	547
332	272	546
333	273	544
334	273	543
335	274	541
336	274	539
337	274	538
338	275	536
339	275	535
340	276	533
341	276	532
342	276	530
343	277	528
344	277	527
345	278	525
346	278	524
347	279	522
348	279	521
349	279	519
350	280	518
351	280	516
352	281	515
353	281	513
354	281	512
355	282	510
356	282	509
357	283	507
358	283	506
359	283	504
360	284	503
361	284	501
362	285	500
363	285	498
364	285	497
365	286	495
366	286	494
367	287	493
368	287	491
369	287	490
370	288	488
371	288	487
372	289	486
373	289	484
374	290	483
375	290	482
376	290	480
377	291	479
378	291	478
379	292	476
380	292	475
381	292	473
382	293	472
383	293	471
384	294	470
385	294	468
386	295	467
387	295	465
388	295	464
389	296	463
390	296	462
391	297	460
392	297	459
393	297	458
394	298	457
395	298	455
396	299	454
397	299	453
398	300	452
399	300	450
400	301	449
401	301	448
402	301	447
403	302	446
404	302	444
405	303	443
406	303	442
407	304	441
408	304	439
409	304	438
410	305	437
411	305	436
412	306	435
413	306	433
414	307	432
415	307	431
416	307	430
417	308	429
418	308	428
419	309	426
420	309	425
421	310	424
422	310	423
423	310	422
424	311	421
425	311	420
426	312	418
427	312	417
428	312	416
429	313	415
430	313	414
431	314	413
432	314	411
433	315	410
434	315	409
435	315	408
436	316	407
437	316	406
438	317	405
439	317	404
440	318	403
441	318	402
442	318	400
443	319	399
444	319	398
445	320	397
446	320	396
447	320	395
448	321	394
449	321	393
450	322	392
451	322	391
452	322	389
453	323	388
454	323	387
455	324	386
456	324	385
457	325	384
458	325	383
459	326	382
460	326	381
461	326	380
462	327	379
463	327	378
464	328	377
465	328	376
466	328	375
467	329	374
468	329	373
469	330	372
470	330	371
471	331	370
472	331	369
473	331	368
474	332	367
475	332	366
476	333	365
477	333	364
478	333	363
479	334	362
480	334	361
481	335	360
482	335	359
483	335	358
484	336	357
485	336	356
486	337	355
487	337	354
488	338	353
489	338	352
490	338	351
491	339	350
492	339	349
493	340	348
494	340	347
495	341	346
496	341	345
497	341	344
498	342	343
499	342	342
500	343	341
501	343	340
502	343	339
503	344	338
504	344	337
505	345	336
506	345	336
507	346	335
508	346	334
509	346	333
510	347	332
511	347	331
512	348	330
513	348	329
514	348	328
515	349	327
516	349	326
517	350	325
518	350	325
519	351	324
520	351	323
521	351	322
522	352	321
523	352	320
524	353	319
525	353	318
526	354	317
527	354	316
528	354	316
529	355	315
530	355	314
531	356	313
532	356	312
533	357	311
534	357	310
535	357	309
536	358	308
537	358	308
538	359	307
539	359	306
540	359	305
541	360	304
542	360	303
543	361	302
544	361	301
545	362	301
546	362	300
547	362	299
548	363	298
549	363	297
550	364	296
551	364	295
552	364	295
553	365	294
554	365	293
555	366	292
556	366	291
557	367	290
558	367	289
559	367	289
560	368	288
561	368	287
562	369	286
563	369	285
564	369	284
565	370	284
566	370	283
567	371	282
568	371	281
569	372	280
570	372	279
571	372	279
572	373	278
573	373	277
574	374	276
575	374	275
576	375	274
577	375	274
578	375	273
579	376	272
580	376	271
581	377	270
582	377	270
583	378	269
584	378	268
585	378	267
586	379	266
587	379	266
588	380	265
589	380	264
590	381	263
591	381	262
592	381	262
593	382	261
594	382	260
595	383	259
596	383	258
597	384	258
598	384	257
599	384	256
600	385	255
601	385	255
602	386	254
603	386	253
604	387	252
605	387	252
606	388	251
607	388	250
608	388	249
609	389	249
610	389	248
611	390	247
612	390	246
613	391	245
614	391	245
615	392	244
616	392	243
617	393	242
618	393	242
619	393	241
620	394	240
621	394	239
622	395	239
623	395	238
624	395	237
625	396	236
626	396	236
627	397	235
628	397	234
629	398	233
630	398	232
631	398	232
632	399	231
633	399	230
634	400	229
635	400	229
636	401	228
637	401	227
638	401	227
639	402	226
640	402	225
641	403	224
642	403	224
643	404	223
644	404	222
645	405	222
646	405	221
647	406	220
648	406	219
649	406	219
650	407	218
651	407	217
652	408	216
653	408	216
654	409	215
655	409	214
656	410	214
657	410	213
658	410	212
659	411	211
660	411	211
661	412	210
662	412	209
663	413	209
664	413	208
665	414	207
666	414	207
667	415	206
668	415	205
669	416	204
670	416	204
671	416	203
672	417	202
673	417	202
674	418	201
675	418	200
676	419	200
677	419	199
678	420	198
679	420	197
680	420	197
681	421	196
682	421	195
683	422	195
684	422	194
685	423	193
686	423	193
687	424	192
688	424	191
689	425	190
690	425	190
691	425	189
692	426	188
693	426	188
694	427	187
695	427	186
696	428	186
697	428	185
698	429	184
699	429	184
700	429	183
701	430	182
702	430	181
703	431	181
704	431	180
705	432	179
706	432	179
707	433	178
708	433	177
709	433	177
710	434	176
711	434	175
712	435	175
713	435	174
714	436	173
715	436	173
716	436	172
717	437	171
718	437	171
719	438	170
720	438	169
721	439	169
722	439	168
723	440	167
724	440	167
725	441	166
726	441	165
727	441	165
728	442	164
729	442	163
730	443	163
731	443	162
732	444	161
733	444	161
734	445	160
735	445	159
736	445	159
737	446	158
738	446	157
739	447	157
740	447	156
741	448	155
742	448	155
743	449	154
744	449	153
745	449	153
746	450	152
747	450	151
748	451	151
749	451	150
750	452	149
751	452	149
752	452	148
753	453	147
754	453	147
755	454	146
756	454	146
757	455	145
758	455	144
759	456	144
760	456	143
761	457	142
762	457	142
763	457	141
764	458	140
765	458	140
766	459	139
767	459	138
768	460	138
769	460	137
770	461	136
771	461	136
772	462	135
773	462	135
774	463	134
775	463	133
776	463	133
777	464	132
778	464	131
779	465	131
